主题,项目,子项,单位,细分项,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
产业能耗结构,第二产业,能源供应部门,万tce,其他能源,125.22,143.15,195.92,257.97,292.18,298.84000000000003,286.27,310.35,335.99,349.35,299.73
产业能耗结构,第二产业,工业消费部门,万tce,煤炭,7335.5047179594785,7818.715230874418,7510.450487116033,7956.967995710899,8358.123364819088,8383.945964110222,8417.763554534178,8262.625752165499,7931.340577029469,8829.807876769248,8291.344580230485
产业能耗结构,第二产业,工业消费部门,万tce,油品,1401.8625153117111,1256.5227339727578,1435.9011021797387,1337.2512160850533,1436.4277740323332,1440.5688710842928,1512.3764029905053,1350.399403409255,1351.6604084446365,1290.0555089555362,1225.6545993129005
产业能耗结构,第二产业,工业消费部门,万tce,天然气,444.08195200000006,520.76508,677.50758,769.111856,820.2172119999999,923.650072,956.6290240000001,1020.4116840000002,1304.998228,1377.0077360000002,1666.3616560000003
产业能耗结构,第二产业,工业消费部门,万tce,热力,1632.9719358912591,1701.0488491860415,1747.2451518863356,1856.9441929209277,1802.467385481894,1846.3602326985088,1982.9072323706323,2118.2150377825496,2248.052520045809,2252.10257789624,2234.2502011476
产业能耗结构,第二产业,工业消费部门,万tce,电力,3462.0680821326087,3841.644695089271,4080.3779217910073,4405.26404008498,4573.723053644862,4614.144859700049,4825.176429105225,5049.358297227046,5247.227277916774,5318.398660971073,5400.852262924328
产业能耗结构,第二产业,工业消费部门,万tce,其他能源,36.19,33.16,43.11,22.27,27.57,33.52,29.7,31.31,40.38,42.18,54.28
产业能耗结构,第三产业,总量,万tce,煤炭,44.622321,20.471838,2.064327,18.060883000000004,10.678785000000001,7.771309000000001,5.364393000000001,4.814382,3.7786470000000003,2.6357670000000004,0.22857600000000003
产业能耗结构,第三产业,总量,万tce,油品,1398.3217242904948,1492.695583635894,1647.0343818794954,1725.944152542463,1835.8528608841452,1868.3309623490743,1890.2539904208952,1961.0336874099444,2062.8016850258387,2132.38964965612,2167.379123847341
产业能耗结构,第三产业,总量,万tce,天然气,33.117000000000004,82.061,78.47,88.31200000000001,124.62100000000001,182.40803199999996,182.066904,174.92762399999998,191.612916,273.643296,217.40270800000002
产业能耗结构,第三产业,总量,万tce,热力,13.07394274526499,9.366589966795482,5.571941169995565,8.434977771175662,6.496051364040118,4.264205895397462,0.7941891667637497,0.7232611518702934,1.3015972733092456,1.090177228915289,0.9609382017776928
产业能耗结构,第三产业,总量,万tce,电力,443.70582669821437,510.96899013392124,575.8233138047098,641.1323674311207,666.5480849507702,713.3361103846704,800.0543419217338,907.7024414162262,1041.2947283787944,1112.6258814175012,1121.6467405371445
产业能耗结构,第三产业,总量,万tce,其他能源,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
产业能耗结构,第三产业,交通消费部门,万tce,煤炭,25.000500000000002,2.2857600000000002,2.064327,2.7929130000000004,1.7571780000000001,1.835751,1.5571740000000003,0.7285860000000001,0.7214430000000001,0.36429300000000003,0.22857600000000003
产业能耗结构,第三产业,交通消费部门,万tce,油品,1316.6805505280142,1382.8763468753007,1502.7026328987004,1613.1544293188065,1743.0910367347087,1791.9861131410728,1840.1656051243326,1925.4376280780486,2029.0935858713256,2098.048564444473,2156.130666825417
产业能耗结构,第三产业,交通消费部门,万tce,天然气,14.364000000000003,57.722,54.53,61.845000000000006,99.48400000000001,147.69503199999997,155.333904,159.233624,182.967916,264.333296,205.964708
产业能耗结构,第三产业,交通消费部门,万tce,热力,4.105640862101995,2.7068585683858504,0.7979401675513844,1.6511223467024803,1.2078222536183778,0.6857511439939462,0.35668607489690096,0.30485406401322124,0.32633706852422006,0.19164204024097353,0.2980340625811581
产业能耗结构,第三产业,交通消费部门,万tce,电力,38.1112862806737,49.1477052036163,58.05795433405436,64.22753373195768,70.33566313585797,77.0828724773897,86.17747158983683,102.25279002102715,111.54402911428396,119.98725829029904,121.84304810919029
产业能耗结构,第三产业,交通消费部门,万tce,其他能源,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
产业能耗结构,第三产业,建筑消费部门,万tce,煤炭,19.621821,18.186078000000002,0.0,15.267970000000002,8.921607000000002,5.935558000000001,3.8072190000000004,4.085796,3.0572040000000005,2.2714740000000004,0.0
产业能耗结构,第三产业,建筑消费部门,万tce,油品,81.64117376248065,109.81923676059344,144.33174898079506,112.78972322365652,92.76182414943662,76.34484920800159,50.088385296562535,35.596059331895646,33.70809915451308,34.341085211647,11.248457021923878
产业能耗结构,第三产业,建筑消费部门,万tce,天然气,18.753,24.339,23.94,26.467000000000002,25.137,34.713,26.733000000000004,15.694000000000003,8.645,9.31,11.438000000000002
产业能耗结构,第三产业,建筑消费部门,万tce,热力,8.968301883162995,6.659731398409631,4.77400100244418,6.783855424473181,5.28822911042174,3.5784547514035165,0.4375030918668488,0.4184070878570721,0.9752602047850254,0.8985351886743154,0.6629041391965348
产业能耗结构,第三产业,建筑消费部门,万tce,电力,405.59454041754066,461.82128493030496,517.7653594706554,576.904833699163,596.2124218149122,636.2532379072807,713.876870331897,805.449651395199,929.7506992645103,992.6386231272021,999.8036924279543
产业能耗结构,第三产业,建筑消费部门,万tce,其他能源,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
产业能耗结构,居民生活,居民生活消费,万tce,煤炭,36.19040664354375,17.52433212216051,12.710316731123074,9.167408,7.760732000000001,4.4715180000000005,0.0,0.0,0.0,0.0,0.0
产业能耗结构,居民生活,居民生活消费,万tce,油品,500.9075608909661,545.1738372031572,634.890922254591,575.2253085482516,628.368064323791,656.1026736440842,658.4459110734422,715.4774394456156,741.3344458086572,716.8985998339499,735.8052869411223
产业能耗结构,居民生活,居民生活消费,万tce,天然气,108.26200000000001,123.42399999999999,136.724,195.64300000000003,210.14000000000001,239.932,280.231,300.314,353.913,402.857,455.12600000000003
产业能耗结构,居民生活,居民生活消费,万tce,热力,23.842725006492653,17.314619635721836,11.53398642190514,17.510012676750446,15.52982526095092,15.267937205959695,6.21438530489591,5.834511225129995,6.525718370269591,7.439257562094446,9.300094952832868
产业能耗结构,居民生活,居民生活消费,万tce,电力,478.84293326914184,501.69004103946503,576.2288837651297,672.361254383456,610.6531704056222,650.3867365279756,761.4145856926341,841.0169079241476,931.9137390534165,943.2328279487731,980.373204324199
产业能耗结构,居民生活,居民生活消费,万tce,其他能源,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
